filename,snr_db
21_180.wav,3.02
21_45.wav,0.72
21_90.wav,0.88
22_180.wav,3.69
22_45.wav,1.09
22_90.wav,0.05
23_180.wav,1.95
23_45.wav,0.75
23_90.wav,0.92
24_180.wav,2.06
24_45.wav,0.25
24_90.wav,0.03
25_180.wav,0.65
25_45.wav,-0.26
25_90.wav,0.03
26_180.wav,3.06
26_45.wav,0.41
27_180.wav,1.99
27_45.wav,-0.43
27_90.wav,0.41
28_180.wav,0.32
28_90.wav,-0.06
29_180.wav,0.61
29_45.wav,-0.42
29_90.wav,-0.26
2m.21.m4a,2.6
2m.22.m4a,5.13
2m.23.m4a,4.7
2m.24.m4a,5.99
2m.25.m4a,3.17
2m.26.m4a,6.29
2m.27.m4a,6.37
2m.28.m4a,3.8
2m.29.m4a,2.3
2m.30.m4a,5.64
2m.31.m4a,4.44
2m.32.m4a,2.94
2m.33.m4a,5.66
2m.34.m4a,2.82
2m.35.m4a,6.95
2m.36.m4a,9.58
2m.37.m4a,7.47
2m.38.m4a,6.66
2m.39.m4a,4.31
2m.40.m4a,8.57
2m.41.m4a,4.94
2m.42.m4a,6.56
2m.43.m4a,6.5
2m.44.m4a,3.9
2m.45.m4a,4.43
2m.46.m4a,2.98
2m.47.m4a,6.01
2m.48.m4a,7.22
2m.49.m4a,3.62
2m.50.m4a,6.65
2m.51.m4a,3.19
2m.52.m4a,3.44
2m.53.m4a,5.47
2m.54.m4a,6
2m.55.m4a,4.5
2m.56.m4a,3.85
2m.57.m4a,4.57
2m.58.m4a,3.94
2m.59.m4a,3.54
30_180.wav,1.18
30_45.wav,-0.38
30_90.wav,-0.13
31_180.wav,1.12
31_45.wav,-0.06
31_90.wav,-0.15
32_180.wav,0.98
32_45.wav,-0.55
32_90.wav,0.21
33_180.wav,2.26
33_45.wav,0.19
33_90.wav,0.06
34_180 (1).wav,2.97
34_45.wav,1.71
34_90.wav,1
35_180.wav,0.54
35_45.wav,-0.65
35_90.wav,-0.44
36_180.wav,1.08
36_45.wav,0.11
36_90.wav,-0.28
37_180.wav,0.43
37_45.wav,-0.63
37_90.wav,-0.44
38_180.wav,1.07
38_45.wav,-0.39
38_90.wav,-0.34
39_180.wav,1.05
39_45.wav,-0.64
39_90.wav,-0.53
40_180.wav,0.31
40_90.wav,-0.28
41_180.wav,2.21
41_45.wav,0.4
41_90.wav,0.94
42_180.wav,3.77
42_45.wav,2.06
42_90.wav,2.33
43_180.wav,2.87
43_45.wav,2.5
43_90.wav,2.88
44_180.wav,3.98
44_45.wav,2.16
44_90.wav,1.87
45_180.wav,2.03
45_45.wav,2.23
45_90.wav,1.26
46_180.wav,3.26
46_45.wav,2.65
