filename,snr_db
mar_0044_1m.m4a,-0.98
mar_0044_1m.wav,0.08
mar_0045_1m.m4a,-0.72
mar_0045_1m.wav,-0.02
mar_0046_1m.m4a,-0.71
mar_0046_1m.wav,0.07
mar_0047_1m.m4a,-0.77
mar_0047_1m.wav,0.12
mar_0048_1m.m4a,-0.37
mar_0048_1m.wav,0.22
mar_0049_1m.m4a,-1.03
mar_0049_1m.wav,0.03
mar_0050_1m.m4a,-0.94
mar_0050_1m.wav,0.06
mar_0051_1m.m4a,-0.91
mar_0051_1m.wav,0.04
mar_0052_1m.m4a,-0.93
mar_0052_1m.wav,0.18
mar_0053_1m.m4a,-1.15
mar_0053_1m.wav,0.15
mar_0054_1m.m4a,-1.02
mar_0054_1m.wav,0.03
mar_0055_1m.m4a,-1
mar_0055_1m.wav,0.15
mar_0056_1m.m4a,-0.94
mar_0056_1m.wav,0.14
mar_0057_1m.m4a,-0.78
mar_0057_1m.wav,0.14
mar_0058_1m.m4a,-1
mar_0058_1m.wav,0.08
mar_0059_1m.m4a,-0.93
mar_0059_1m.wav,0.04
mar_0061_1m.m4a,-0.64
mar_0061_1m.wav,0.05
mar_0062_1m.m4a,-1.04
mar_0062_1m.wav,0.02
mar_0063_1m.m4a,-0.76
mar_0063_1m.wav,0.02
mar_0064_1m.m4a,-0.81
mar_0064_1m.wav,0.02
mar_0065_1m.m4a,-0.92
mar_0065_1m.wav,0.05
mar_0066_1m.m4a,-0.8
mar_0066_1m.wav,0.04
mar_0067_1m.m4a,-0.72
mar_0067_1m.wav,0.06
mar_0068_1m.m4a,-1.13
mar_0068_1m.wav,0.04
mar_0069_1m.m4a,-0.61
mar_0069_1m.wav,-0.03
mar_0070_1m.m4a,-0.91
mar_0070_1m.wav,0.08
mar_0071_1m.m4a,-0.65
mar_0071_1m.wav,0.07
mar_0072_1m.m4a,-0.8
mar_0072_1m.wav,-0.01
mar_0073_1m.m4a,0.02
mar_0073_1m.wav,-0.09
mar_0074_1m.m4a,-0.27
mar_0074_1m.wav,-0.06
mar_0075_1m.m4a,-0.06
mar_0075_1m.wav,-0.15
mar_0076_1m.m4a,-0.58
mar_0076_1m.wav,0
mar_0077_1m.m4a,-0.87
mar_0077_1m.wav,0.05
mar_0078_1m.m4a,-1.18
mar_0078_1m.wav,0.09
mar_0079_1m.m4a,-0.57
mar_0079_1m.wav,-0.06
mar_0080_1m.m4a,-0.75
mar_0080_1m.wav,0.11
mar_0081_1m.m4a,0.36
mar_0081_1m.wav,-0.45
mar_0082_1m.m4a,-0.93
mar_0082_1m.wav,0.14
mar_0083_1m.m4a,-0.6
mar_0083_1m.wav,-0.09
mar_0084_1m.m4a,-0.6
mar_0084_1m.wav,-0.07
mar_0085_1m.m4a,-0.66
mar_0085_1m.wav,-0.04
mar_0086_1m.m4a,-0.67
mar_0086_1m.wav,-0.08
mar_0087_1m.m4a,-0.49
mar_0087_1m.wav,-0.07
mar_0088_1m.m4a,0.18
mar_0088_1m.wav,-0.44
mar_0089_1m.m4a,-0.93
mar_0089_1m.wav,0.05
mar_0090_1m.m4a,1
mar_0090_1m.wav,-0.41
mar_0091_1m.m4a,-0.02
mar_0091_1m.wav,-0.27
mar_0092_1m.m4a,-0.72
mar_0092_1m.wav,0.03
mar_0093_1m.m4a,-0.01
mar_0093_1m.wav,-0.23
mar_0094_1m.m4a,0.85
mar_0094_1m.wav,-0.44
mar_0095_1m.m4a,-0.62
mar_0095_1m.wav,0.05
mar_0096_1m.m4a,0.45
mar_0096_1m.wav,-0.47
mar_0097_1m.m4a,0.05
mar_0097_1m.wav,-0.19
mar_0098_1m.m4a,-0.58
mar_0098_1m.wav,-0.08
mar_0099_1m.m4a,-0.32
mar_0099_1m.wav,-0.21
mar_0101_1m_45.m4a,-0.46
mar_0101_1m_90.m4a,-1.31
mar_0102_1m_180.m4a,-0.36
mar_0102_1m_90.m4a,-0.18
mar_0103_1m_180.m4a,-0.95
mar_0103_1m_45.m4a,-0.62
mar_0103_1m_90.m4a,-0.98
mar_0104_1m_180.m4a,-1.4
mar_0104_1m_45.m4a,-1.05
mar_0104_1m_90.m4a,-1.39
mar_0105_1m_180.m4a,-0.44
mar_0105_1m_45.m4a,-0.79
mar_0105_1m_90.m4a,-0.19
mar_0106_1m_180.m4a,-1
mar_0106_1m_45.m4a,-0.53
mar_0106_1m_90.m4a,-0.32
mar_0107_1m_180.m4a,-1.3
mar_0107_1m_45.m4a,-0.36
mar_0107_1m_90.m4a,-0.89
mar_0108_1m_180.m4a,-1.32
mar_0108_1m_45.m4a,-0.73
mar_0108_1m_90.m4a,-0.86
mar_0109_1m_180.m4a,-1.23
mar_0109_1m_45.m4a,-0.15
mar_0109_1m_90.m4a,-0.22
mar_0110_1m_180.m4a,-1.34
mar_0110_1m_45.m4a,-0.53
mar_0110_1m_90.m4a,-0.15
mar_0111_1m_180.m4a,-0.97
mar_0111_1m_45.m4a,0.28
mar_0111_1m_90.m4a,-0.18
mar_0112_1m_180.m4a,-0.67
mar_0112_1m_45.m4a,0.1
mar_0112_1m_90.m4a,0.42
mar_0113_1m_180.m4a,-0.55
mar_0113_1m_45.m4a,0.6
mar_0113_1m_90.m4a,0.36
mar_0114_1m_180.m4a,-0.57
mar_0114_1m_45.m4a,0.3
mar_0114_1m_90.m4a,0.66
mar_0115_1m_180.m4a,0.35
mar_0115_1m_45.m4a,1.65
mar_0115_1m_90.m4a,1.76
mar_0116_1m_180.m4a,-0.26
mar_0116_1m_45.m4a,-0.41
mar_0116_1m_90.m4a,-0.39
mar_0117_1m_180.m4a,-0.82
mar_0117_1m_45.m4a,-0.35
mar_0117_1m_90.m4a,-0.68
mar_0118_1m_180.m4a,-0.5
mar_0118_1m_45.m4a,-0.26
mar_0118_1m_90.m4a,-0.23
mar_0119_1m_180.m4a,-0.75
mar_0119_1m_45.m4a,0.87
mar_0119_1m_90.m4a,-0.15
mar_0120_1m_180.m4a,0.2
mar_0120_1m_45.m4a,0.06
mar_0120_1m_90.m4a,-0.21
mar_0121_1m_180.m4a,-0.83
mar_0121_1m_45.m4a,0.14
mar_0121_1m_90.m4a,-0.54
mar_0122_1m_180.m4a,-0.31
mar_0122_1m_45.m4a,0.38
mar_0122_1m_90.m4a,-0.54
mar_0123_1m_180.m4a,-1.28
mar_0123_1m_45.m4a,-0.11
mar_0123_1m_90.m4a,-0.43
mar_0124_1m_180.m4a,-0.01
mar_0124_1m_45.m4a,-0.38
mar_0124_1m_90.m4a,-0.75
mar_0125_1m_180.m4a,-0.69
mar_0125_1m_45.m4a,-0.36
mar_0125_1m_90.m4a,-0.29
mar_0126_1m_180.m4a,0.23
mar_0126_1m_45.m4a,-0.3
mar_0126_1m_90.m4a,-0.12
mar_0127_1m_180.m4a,2.15
mar_0127_1m_45.m4a,-0.03
mar_0127_1m_90.m4a,0.19
mar_0128_1m_180.m4a,-0.2
mar_0128_1m_45.m4a,-0.17
mar_0128_1m_90.m4a,-0.48
mar_0129_1m_180.m4a,-0.42
mar_0129_1m_45.m4a,-0.09
mar_0129_1m_90.m4a,-0.23
mar_0130_1m_180.m4a,-0.83
mar_0130_1m_45.m4a,-0.17
mar_0130_1m_90.m4a,-0.69
mar_0131_1m_180.m4a,-0.53
mar_0131_1m_45.m4a,0.27
mar_0131_1m_90.m4a,-0.25
mar_0132_1m_180.m4a,-0.26
mar_0132_1m_45.m4a,0.65
mar_0132_1m_90.m4a,-0.58
mar_0133_1m_180.m4a,-0.76
mar_0133_1m_45.m4a,-0.7
mar_0133_1m_90.m4a,-1.02
mar_0134_1m_180.m4a,0.3
mar_0134_1m_45.m4a,0.26
mar_0134_1m_90.m4a,-0.25
mar_0135_1m_180.m4a,-0.72
mar_0135_1m_45.m4a,-0.67
mar_0135_1m_90.m4a,-0.32
mar_0136_1m_180.m4a,1.56
mar_0136_1m_45.m4a,0.43
mar_0136_1m_90.m4a,-0.48
mar_0137_1m_180.m4a,0.3
mar_0137_1m_45.m4a,2.72
mar_0137_1m_90.m4a,-0.72
mar_0138_1m_180.m4a,0.49
mar_0138_1m_45.m4a,0.61
mar_0138_1m_90.m4a,-0.66
mar_0139_1m_180.m4a,0.53
mar_0139_1m_45.m4a,-0.65
mar_0139_1m_90.m4a,-0.67
mar_0140_1m_180.m4a,-0.36
mar_0140_1m_45.m4a,-0.01
mar_0140_1m_90.m4a,-0.38
mar_0141_1m_180.m4a,-0.57
mar_0141_1m_45.m4a,1.13
mar_0141_1m_90.m4a,-0.31
mar_0142_1m_180.m4a,-0.15
mar_0142_1m_45.m4a,0.6
mar_0142_1m_90.m4a,0.07
mar_0143_1m_180.m4a,0.95
mar_0143_1m_45.m4a,-0.07
mar_0143_1m_90.m4a,0.1
mar_0144_1m_180.m4a,1.4
mar_0144_1m_45.m4a,0.8
mar_0144_1m_90.m4a,0.11
mar_0145_1m_180.m4a,-0.09
mar_0145_1m_45.m4a,0.23
mar_0145_1m_90.m4a,-0.02
mar_0146_1m_180.m4a,0.21
mar_0146_1m_45.m4a,-0.44
mar_0146_1m_90.m4a,-0.39
mar_0147_1m_180.m4a,-0.48
mar_0147_1m_45.m4a,0.2
mar_0147_1m_90.m4a,0.63
mar_0148_1m_180.m4a,-0.02
mar_0148_1m_45.m4a,-0.61
mar_0148_1m_90.m4a,-0.82
mar_0149_1m_180.m4a,-0.3
mar_0149_1m_45.m4a,-0.43
mar_0149_1m_90.m4a,-0.15
mar_0150_1m_180.m4a,0.19
mar_0150_1m_45.m4a,0.44
mar_0150_1m_90.m4a,-0.34
mar_100_1m.m4a,-0.16
mar_100_1m.wav,-0.31
mar_10__1m.m4a,-0.26
mar_1_1m.m4a,-0.04
mar_2_1m.m4a,-0.33
mar_3__1m.m4a,0.02
mar_4__1m.m4a,-0.03
mar_5__1m.m4a,-0.21
mar_6__1m.m4a,-0.21
mar_7__1m.m4a,-0.11
mar_8__1m.m4a,-0.94
mar_9__1m.m4a,-0.4
msr_0006_1m.m4a,-0.73
